Node,Eigenvector_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:5386', 'Fabaceae')",0.15199208961161706,-0.008771929824561403,-0.23827534491188934,-0.27631578947368424
"('GBIF:3065', 'Asteraceae')",0.14943099920184186,-0.052884615384615384,-0.2496340821419192,-0.3798076923076923
"('GBIF:4691', 'Euphorbiaceae')",0.12717099031861406,0.21621621621621623,-0.21991549565078977,-0.36486486486486486
"('GBIF:5015', 'Rosaceae')",0.1269795517786501,0.05555555555555555,-0.3581555235496123,-0.4523809523809524
"('GBIF:5483', 'Hominidae')",0.12646941228216402,0.18085106382978725,-0.14745046875644693,-0.19148936170212766
"('GBIF:3073', 'Poaceae')",0.12588031217109957,0.07738095238095238,-0.23515195805836203,-0.36904761904761907
"('GBIF:3112', 'Brassicaceae')",0.12536436766518805,-0.02976190476190476,-0.21664387061892973,-0.31547619047619047
"('GBIF:3925', 'Pinaceae')",0.12128403805723471,-0.11,-0.322437799382272,-0.325
"('GBIF:7336', 'Cyprinidae')",0.11494568378921151,0.1,-0.25138235501871864,-0.44545454545454544
"('GBIF:4689', 'Fagaceae')",0.11292564626567891,-0.08333333333333333,-0.3114572015003475,-0.3333333333333333
