Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:8223', 'Rhaphidophoridae')",303.0,-1.0,-1.0,-1.0
"('GBIF:3114', 'Ephedraceae')",283.5,1.0,0.2083333333333333,1.0
"('GBIF:4605638', 'Clavatulidae')",237.0,-1.0,-0.5555555555555556,-1.0
"('GBIF:4020', 'Chelodesmidae')",237.0,-1.0,-0.4821428571428571,-1.0
"('GBIF:9699', 'Indicatoridae')",235.2,1.0,0.2,1.0
"('GBIF:7899', 'Tingidae')",232.0,1.0,-0.1162790697674418,-1.0
"('GBIF:7818', 'Rhizobiaceae')",231.0,0.25,-0.1875,-1.0
"('GBIF:4483', 'Cordulegastridae')",228.25,-1.0,-0.6666666666666666,-1.0
"('GBIF:4711', 'Lactobacillaceae')",221.0,1.0,0.3333333333333333,1.0
"('GBIF:8412', 'Cryphonectriaceae')",216.2,-1.0,0.0,1.0
