Node,Size,First Author Score,Team Score,Last Author Score
"('GBIF:9705453', 'Parus major')",50,0.01,-0.3060554880685086,-0.36
"('GBIF:2182873', 'Ixodes uriae')",48,0.17708333333333334,-0.2122679114866615,-0.5625
"('GBIF:2882316', 'Fagus sylvatica')",46,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:2436436', 'Homo sapiens')",44,0.17045454545454544,-0.17811317885331038,-0.3181818181818182
"('GBIF:2878688', 'Quercus robur')",44,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:5361880', 'Cannabis sativa')",43,-0.19767441860465115,-0.24101459188326493,-0.27906976744186046
"('GBIF:5073713', 'Drosophila melanogaster')",42,-0.011904761904761904,-0.2405234315948602,-0.25
"('GBIF:5285637', 'Pinus sylvestris')",40,0.1375,-0.33461584779599485,-0.3
"('GBIF:2487879', 'Cyanistes caeruleus')",38,-0.05263157894736842,-0.33047528378188973,-0.42105263157894735
"('GBIF:7595433', 'Salmo salar')",36,0.06944444444444445,-0.1912365051628068,-0.2361111111111111
