Node,Closeness_centrality,First Author Score,Team Score,Last Author Score
L12,1.0,-0.049019607843137254,-0.3175456172298811,-0.4632352941176471
L21,1.0,-0.14925373134328357,-0.305045013153814,-0.3582089552238806
L57,1.0,-0.11467889908256881,-0.24835470767341858,-0.40825688073394495
L46,1.0,-0.2517482517482518,-0.3268403598665446,-0.3706293706293706
L50,1.0,-0.12758620689655173,-0.2988565536334299,-0.4517241379310345
L9,1.0,0.08203125,-0.2427317630963596,-0.4375
L61,1.0,-0.08875739644970414,-0.24191246699072513,-0.25443786982248523
L40,1.0,-0.11944444444444445,-0.35306457852442896,-0.49166666666666664
L53,1.0,-0.06465517241379311,-0.2987072425587429,-0.3879310344827586
L68,1.0,-0.05357142857142857,-0.2130789694392067,-0.3169642857142857
