Topic ID,Words,Probabilities
0,"""soil"", ""litter"", ""root"", ""leaf"", ""biomass""","0.022, 0.021, 0.017, 0.015, 0.01"
1,"""female"", ""male"", ""bee"", ""reproductive"", ""age""","0.025, 0.016, 0.013, 0.012, 0.011"
2,"""microbial"", ""niche"", ""sphagnum"", ""plot"", ""neutral""","0.009, 0.007, 0.007, 0.004, 0.003"
3,"""thermal"", ""season"", ""deer"", ""lizard"", ""body""","0.008, 0.008, 0.007, 0.006, 0.006"
4,"""host"", ""infection"", ""jf"", ""parasite"", ""egg""","0.021, 0.008, 0.008, 0.008, 0.008"
5,"""soil"", ""leaf"", ""litter"", ""plot"", ""carbon""","0.019, 0.011, 0.01, 0.008, 0.006"
6,"""ant"", ""fire"", ""patch"", ""landscape"", ""prey""","0.013, 0.01, 0.009, 0.006, 0.005"
7,"""marine"", ""sea"", ""service"", ""people"", ""protected""","0.014, 0.007, 0.005, 0.005, 0.004"
8,"""probability"", ""breeding"", ""age"", ""demographic"", ""dispersal""","0.021, 0.016, 0.01, 0.007, 0.007"
9,"""web"", ""competition"", ""nutrient"", ""predator"", ""biomass""","0.009, 0.008, 0.008, 0.008, 0.007"
10,"""nest"", ""prey"", ""predator"", ""bird"", ""predation""","0.015, 0.015, 0.014, 0.013, 0.011"
11,"""phylogenetic"", ""leaf"", ""insect"", ""phylogeny"", ""herbivore""","0.024, 0.009, 0.008, 0.007, 0.006"
12,"""coral"", ""fish"", ""reef"", ""library"", ""marine""","0.02, 0.017, 0.012, 0.01, 0.007"
13,"""island"", ""dispersal"", ""richness"", ""native"", ""thermal""","0.011, 0.01, 0.007, 0.006, 0.005"
14,"""root"", ""soil"", ""fungal"", ""fungi"", ""pesticide""","0.019, 0.016, 0.009, 0.005, 0.005"
15,"""foraging"", ""bat"", ""http"", ""bird"", ""behavior""","0.011, 0.009, 0.007, 0.007, 0.005"
16,"""seed"", ""landscape"", ""richness"", ""crop"", ""grassland""","0.013, 0.012, 0.009, 0.007, 0.007"
17,"""dispersal"", ""preprint"", ""biorxiv"", ""niche"", ""host""","0.013, 0.011, 0.006, 0.006, 0.006"
18,"""network"", ""trophic"", ""niche"", ""manuscrit"", ""dauteur""","0.042, 0.01, 0.006, 0.005, 0.004"
19,"""genetic"", ""gene"", ""dna"", ""locus"", ""molecular""","0.027, 0.009, 0.008, 0.008, 0.008"
